Sendung,Geschlecht,Prozent
ARD-Talks (n=1044),männlich,"0,684"
Alle Sendungen (n=1441),männlich,"0,71"
Anne Will (n=214),männlich,"0,715"
Beckmann (n=196),männlich,"0,663"
Günther Jauch (n=203),männlich,"0,695"
hart aber fair (n=193),männlich,"0,741"
Maischberger (n=238),männlich,"0,618"
log in (n=160),männlich,"0,763"
maybrit illner (n=237),männlich,"0,793"
ARD-Talks (n=1044),weiblich,"0,316"
Alle Sendungen (n=1441),weiblich,"0,29"
Anne Will (n=214),weiblich,"0,285"
Beckmann (n=196),weiblich,"0,337"
Günther Jauch (n=203),weiblich,"0,305"
hart aber fair (n=193),weiblich,"0,259"
Maischberger (n=238),weiblich,"0,382"
log in (n=160),weiblich,"0,238"
maybrit illner (n=237),weiblich,"0,207"
