Thema,Sendung,AbsAnteil,ProzAnteil
Politik,Gesamt,"0,441696113074205","44,1696113074205"
Wirtschaft,Gesamt,"0,208480565371025","20,8480565371025"
Gesundheit,Gesamt,"0,102473498233216","10,2473498233216"
Sport,Gesamt,"0,031802120141343","3,18021201413428"
Prominenz / Personality,Gesamt,"0,056537102473498","5,65371024734982"
Service,Gesamt,"0,014134275618375","1,41342756183746"
Religion,Gesamt,"0,035335689045936","3,53356890459364"
Kriminalität / Katastrophen,Gesamt,"0,017667844522968","1,76678445229682"
Sonstiges,Gesamt,"0,091872791519435","9,18727915194346"
Politik,ARD-Talks,"0,426","42,6"
Wirtschaft,ARD-Talks,"0,162","16,2"
Gesundheit,ARD-Talks,"0,117","11,7"
Sport,ARD-Talks,"0,03",3
Prominenz / Personality,ARD-Talks,"0,081","8,1"
Service,ARD-Talks,"0,02",2
Religion,ARD-Talks,"0,036","3,6"
Kriminalität / Katastrophen,ARD-Talks,"0,025","2,5"
Sonstiges,ARD-Talks,"0,103","10,3"
Politik,Anne Will,"0,540540540540541","54,0540540540541"
Wirtschaft,Anne Will,"0,27027027027027","27,027027027027"
Gesundheit,Anne Will,"0,027027027027027","2,7027027027027"
Sport,Anne Will,"0,054054054054054","5,40540540540541"
Prominenz / Personality,Anne Will,0,0
Service,Anne Will,"0,027027027027027","2,7027027027027"
Religion,Anne Will,"0,054054054054054","5,40540540540541"
Kriminalität / Katastrophen,Anne Will,0,0
Sonstiges,Anne Will,"0,027027027027027","2,7027027027027"
Politik,Beckmann,"0,372093023255814","37,2093023255814"
Wirtschaft,Beckmann,"0,116279069767442","11,6279069767442"
Gesundheit,Beckmann,"0,116279069767442","11,6279069767442"
Sport,Beckmann,"0,046511627906977","4,65116279069768"
Prominenz / Personality,Beckmann,"0,232558139534884","23,2558139534884"
Service,Beckmann,0,0
Religion,Beckmann,"0,023255813953488","2,32558139534884"
Kriminalität / Katastrophen,Beckmann,"0,069767441860465","6,97674418604651"
Sonstiges,Beckmann,"0,023255813953488","2,32558139534884"
Politik,Günther Jauch,"0,65",65
Wirtschaft,Günther Jauch,"0,2",20
Gesundheit,Günther Jauch,"0,075","7,5"
Sport,Günther Jauch,0,0
Prominenz / Personality,Günther Jauch,"0,025","2,5"
Service,Günther Jauch,0,0
Religion,Günther Jauch,0,0
Kriminalität / Katastrophen,Günther Jauch,0,0
Sonstiges,Günther Jauch,"0,05",5
Politik,Hart aber fair,"0,333333333333333","33,3333333333333"
Wirtschaft,Hart aber fair,"0,138888888888889","13,8888888888889"
Gesundheit,Hart aber fair,"0,166666666666667","16,6666666666667"
Sport,Hart aber fair,"0,027777777777778","2,77777777777778"
Prominenz / Personality,Hart aber fair,0,0
Service,Hart aber fair,"0,027777777777778","2,77777777777778"
Religion,Hart aber fair,"0,027777777777778","2,77777777777778"
Kriminalität / Katastrophen,Hart aber fair,0,0
Sonstiges,Hart aber fair,"0,277777777777778","27,7777777777778"
Politik,log in,"0,466666666666667","46,6666666666667"
Wirtschaft,log in,"0,222222222222222","22,2222222222222"
Gesundheit,log in,"0,088888888888889","8,88888888888889"
Sport,log in,"0,044444444444444","4,44444444444444"
Prominenz / Personality,log in,0,0
Service,log in,0,0
Religion,log in,"0,044444444444444","4,44444444444444"
Kriminalität / Katastrophen,log in,0,0
Sonstiges,log in,"0,133333333333333","13,3333333333333"
Politik,maybrit illner,"0,487804878048781","48,7804878048781"
Wirtschaft,maybrit illner,"0,414634146341463","41,4634146341463"
Gesundheit,maybrit illner,"0,048780487804878","4,87804878048781"
Sport,maybrit illner,"0,024390243902439","2,4390243902439"
Prominenz / Personality,maybrit illner,0,0
Service,maybrit illner,0,0
Religion,maybrit illner,"0,024390243902439","2,4390243902439"
Kriminalität / Katastrophen,maybrit illner,0,0
Sonstiges,maybrit illner,0,0
Politik,Menschen bei Maischberger,"0,24390243902439","24,390243902439"
Wirtschaft,Menschen bei Maischberger,"0,097560975609756","9,75609756097561"
Gesundheit,Menschen bei Maischberger,"0,195121951219512","19,5121951219512"
Sport,Menschen bei Maischberger,"0,024390243902439","2,4390243902439"
Prominenz / Personality,Menschen bei Maischberger,"0,121951219512195","12,1951219512195"
Service,Menschen bei Maischberger,"0,048780487804878","4,87804878048781"
Religion,Menschen bei Maischberger,"0,073170731707317","7,31707317073171"
Kriminalität / Katastrophen,Menschen bei Maischberger,"0,048780487804878","4,87804878048781"
Sonstiges,Menschen bei Maischberger,"0,146341463414634","14,6341463414634"
