,Innenpolitik,Außenpolitik,Umwelt- / Energiepolitik,Sozialpolitik,Bildungspolitik,Sonstige Politik
"Anne Will
(n=20)","50,00 %","5,00 %","5,00 %","35,00 %","0,00 %","5,00 %"
"Beckmann
(n=16)","81,30 %","6,30 %","0,00 %","12,50 %","0,00 %","0,00 %"
"Günther Jauch
(n=26)","61,50 %","7,70 %","7,70 %","15,50 %","3,80 %","3,80 %"
"hart aber fair
(n=12)","41,70 %","8,30 %","8,30 %","33,30 %","0,00 %","8,30 %"
"Maischberger
(n=10)","40,00 %","0,00 %","10,00 %","40,00 %","0,00 %","10,00 %"
"ARD-Talks
(n=84)","57,10 %","6,00 %","6,00 %","25,00 %","1,20 %","4,80 %"
"log in
(n=21)","61,90 %","4,80 %","14,30 %","14,30 %","0,00 %","4,80 %"
"maybrit illner
(n=20)","60,00 %","10,00 %","10,00 %","20,00 %","0,00 %","0,00 %"
"Alle Sendungen
(n=125)","58,40 %","6,40 %","8,00 %","22,40 %","0,80 %","4,00 %"
