Sender,Titel
3sat,Peter Voß fragt...
3sat,Debatte
ARD,Anne Will
ARD,Beckmann
ARD,Günther Jauch
ARD,hart aber fair
ARD,Menschen bei Maischberger
ARD,Presseclub
ARD,Waldis Club / Sportschau Club
ARTE,Philosophie
BR,BürgerForum live
BR,Der Sonntags-Stammtisch
BR,Jetzt red i
BR,Münchner Runde
HR,Meinungsmacher
HR,Schlossplatz 1
MDR,Riverboat
n-tv,Bei Brender!
n-tv,busch@n-tv 
n-tv,Das Duell bei n-tv
N24,Deutschland akut
N24,Studio Friedman
NDR,NDR Talk Show
NDR,Tietjen und Hirschhausen
Phoenix,Forum Politik
Phoenix,Forum Wirtschaft
Phoenix,Internationaler Frühschoppen
Phoenix,Phoenix Runde
Phoenix,Tacheles - Die Talkshow der evangelischen Kirche
Phoenix,Unter den Linden
Radio Bremen,3 nach 9
RBB,Dickes B.
RBB,Thadeusz
Sat 1,Britt – Der Talk um eins
Sat 1,Eins gegen Eins
Sport 1,Doppelpass
SR,saartalk
SWR,2+Leif
SWR,Menschen der Woche
SWR,Nachtcafé
WDR,Kölner Treff
WDR,Plasberg persönlich
WDR,Zimmer frei
ZDF,Markus Lanz
ZDF,maybrit illner
ZDF,Peter Hahne
ZDFinfo,log in
ZDFkultur,Roche & Böhmermann
